prefix	assembly
AR_VPI0990	AR_VPI0990.fna
BC_ATCC27758	BC_ATCC27758.fna
BF_NCTC9343	BF_NCTC9343.fna
BF_YCH46	BF_YCH46.fna
BT_ATCC29148	BT_ATCC29148.fna
CA_ATCC25986	CA_ATCC25986.fna
CP_ATCC13124	CP_ATCC13124.fna
CP_C36	CP_C36.fna
DF_ATCC27755	DF_ATCC27755.fna
EB_ATCCBAA-613	EB_ATCCBAA613.fna
EL_DSM2243	EL_DSM2243.fna
FN_ATCC25586	FN_ATCC25586.fna
LS_WM1	LS_WM1.fna
MG_ATCC29149	MG_ATCC29149.fna
MS_ATCC35061	MS_ATCC35061.fna
MS_DSM2374	MS_DSM2374.fna
PD_ATCC8503	PD_ATCC8503.fna
PM_ATCC43184	PM_ATCC43184.fna
RI_L1-82	RI_L182.fna
SP_ATCC15912	SP_ATCC15912.fna
SS_NCTC8618	SS_NCTC8618.fna
TR_ATCC25582	TR_ATCC25582.fna
VP_DSM2008	VP_DSM2008.fna
