prefix	assembly
BU_ATCC8492	BU_ATCC8492VPI0062_NT5002.1.fa
BU_CL03T00C23	BU_CL03T00C23_NT5065.1.fa
BU_CL03T12C37	BU_CL03T12C37_NT5066.1.fa
BU_CL06T06C18	BU_CL06T06C18_NT5103.1.fa
BU_CCUG35501	BU_CCUG35501_NT5118.1.fa
BU_CCUG39989	BU_CCUG39989_NT5119.1.fa
BU_CCUG49527	BU_CCUG49527_NT5120.1.fa
BU_CCUG67191	BU_CCUG67191_NT5121.1.fa
BU_H1-6	BU_H16_NT5122.1.fa
BU_H4-4	BU_H44_NT5123.1.fa
BU_H4-7	BU_H47_NT5124.1.fa
BU_H5-2	BU_H52_NT5125.1.fa
BU_CLA-AV-11	BU_CLAAV11_NT5126.1.fa
BU_CLA-AA-H218	BU_CLAAAH218_NT5127.1.fa
BU_CLA-JM-H26	BU_CLAJMH26_NT5128.1.fa
BU_CLA-JM-H26-B	BU_CLAJMH26B_NT5129.1.fa
BU_CL11T00C07	BU_CL11T00C07_NT5169.1.fa
BU_JCM13286	BU_JCM13286_NT5170.1.fa
BU_JCM13287	BU_JCM13287_NT5171.1.fa
BU_JCM13288	BU_JCM13288_NT5172.1.fa
BU_ET601	BU_ET601_NT5179.1.fa
BU_AN67	BU_AN67_NT5182.1.fa
BU_NT5186	BU_MB001BU23_NT5186.1.fa
BU_NT5187	BU_MB005BU98_NT5187.1.fa
BU_NT5188	BU_MB009BU154_NT5188.1.fa
BU_WH506	BU_WH506_NT5368.1.fa
BU_WH505	BU_WH505_NT5369.1.fa
BU_WH207	BU_WH207_NT5371.1.fa
BU_WH703	BU_WH703_NT5372.1.fa
BU_WH504	BU_WH504_NT5373.1.fa
BU_WH710	BU_WH710_NT5374.1.fa
BU_WH23	BU_WH23_NT5375.1.fa
BU_WH10	BU_WH10_NT5377.1.fa
BU_WH701	BU_WH701_NT5378.1.fa
BU_WH12	BU_WH12_NT5379.1.fa
BU_R5-33	BU_R533_NT5380.1.fa
BU_61	BU_61_NT5381.1.fa
BU_WH4	BU_WH4_NT5382.1.fa
BU_WH20	BU_WH20_NT5383.1.fa
BU_WH215	BU_WH215_NT5384.1.fa
BU_WH704	BU_WH704_NT5385.1.fa
BU_DNLKV2	BU_DNLKV2_NT5386.1.fa
BU_VPI-C20-25	BU_VPIC2025_NT5387.1.fa
BU_WH203	BU_WH203_NT5388.1.fa
BU_2243B	BU_2243B_NT5389.1.fa
BU_WH205	BU_WH205_NT5390.1.fa
BU_WH712	BU_WH712_NT5391.1.fa
BU_WH204	BU_WH204_NT5392.1.fa
BU_WH11	BU_WH11_NT5393.1.fa
BU_WH511	BU_WH511_NT5394.1.fa
BU_WH717	BU_WH717_NT5395.1.fa
BU_WH714	BU_WH714_NT5396.1.fa
BU_WH17	BU_WH17_NT5397.1.fa
BU_WH15	BU_WH15_NT5398.1.fa
BU_WH16	BU_WH16_NT5399.1.fa
BU_909	BU_909_NT5401.1.fa
BU_C7-17	BU_C717_NT5402.1.fa
BU_3537	BU_3537_NT5405.1.fa
BU_NPI	BU_NPI_NT5407.1.fa
PV_ATCC8482	PV_ATCC8482DSM1447_NT5001.1.fa
PV_CL09T03C04	PV_CL09T03C04_NT5056.1.fa
PV_NT5093	PV_NT5093_NT5093.1.fa
PV_NT5096	PV_NT5096_NT5096.1.fa
PV_NT5098	PV_NT5098_NT5098.1.fa
PV_CL06T03C24	PV_CL06T03C24_NT5101.1.fa
PV_CL11T00C01	PV_CL11T00C01_NT5102.1.fa
PV_WAL1887	PV_WAL1887_NT5105.1.fa
PV_MPRL1840MH4	PV_MPRL1840MH4_NT5106.1.fa
PV_H4-2	PV_H42_NT5107.1.fa
PV_H5-1	PV_H51_NT5108.1.fa
PV_H6-5	PV_H65_NT5109.1.fa
PV_CCUG35393	PV_CCUG35393_NT5110.1.fa
PV_CCUG36807	PV_CCUG36807_NT5111.1.fa
PV_CCUG39752	PV_CCUG39752_NT5112.1.fa
PV_CCUG63037	PV_CCUG63037_NT5113.1.fa
PV_CCUG65766	PV_CCUG65766_NT5114.1.fa
PV_CCUG66619	PV_CCUG66619_NT5115.1.fa
PV_CCUG68662	PV_CCUG68662_NT5116.1.fa
PV_CCUG72251	PV_CCUG72251_NT5117.1.fa
PV_TC-KB-H48-1	PV_TCKBH481_NT5131.1.fa
PV_TC-KB-H118	PV_TCKBH118_NT5132.1.fa
PV_TC-KB-H143	PV_TCKBH143_NT5133.1.fa
PV_TC-JM-F11	PV_TCJMF11_NT5134.1.fa
PV_TC-4716A	PV_BVULGATUS4716A_NT5135.1.fa
