species,media,element,locus_tag,old_locus_tag,gene_name,product,uniProt,TAs_in_orf,ins_in_orf,TAs_hit,MRC_orf,max_run_nonIns_Gumbel,nucs_in_max_run_nonIns_Gumbel,post_prob_essentiality_Gumbel,Gumbel,ES_sites_HMM,GD_sites_HMM,NE_sites_HMM,GA_sites_HMM,HMM,consistency_TA_HMM,probES,probGD,probNE,probGA,confidence_score_HMM,flag_HMM,start,end,overlapping_orf,embedded_orf,meanMAPQ,sequencelength_nt,HMM_mod,HMM_essentiality_call_agreement,Gumbel_essentiality_call_agreement,final_essentiality_call_agreement,eggNOG_OGs_Bacteroidetes,eggNOG_OGs_Bacteria,eggNOG_OGs_Bacteroidia,EggNOG_PFAMs,eggNOG_OGs,EggNOG_KEGG_Pathway,EggNOG_KEGG_Module,EggNOG_KEGG_ko,EggNOG_GOs,EggNOG_COG_category,n_species_per_OG,n_calls_per_OG,essentiality_across,max_prob,max_prob_column,final_call_240817,unified_final_call_240817
uniformis,liquid,gene,BU_ATCC8492_00001,BACUNI_01739,dnaA,Chromosomal replication initiator protein DnaA,A7V2E8,62,0,0,0,62,1168,0.9991,essential,62,0,0,0,essential,1,0.942407,0.052365,0.004092,0.001137,0.9424,NA,1,1386,FALSE,FALSE,42,1385,essential,essential,essential,essential,4NE6Q,COG0593,2FNPD,"Bac_DnaA,Bac_DnaA_C,DnaA_N","COG0593@1|root,COG0593@2|Bacteria,4NE6Q@976|Bacteroidetes,2FNPD@200643|Bacteroidia,4AMV9@815|Bacteroidaceae","ko02020,ko04112,map02020,map04112",-,ko:K02313,"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837",L,3,1,conserved_ES,0.942407,probES,essential,essential
uniformis,solid,gene,BU_ATCC8492_00001,BACUNI_01739,dnaA,Chromosomal replication initiator protein DnaA,A7V2E8,62,0,0,0,62,1168,0.99945,essential,62,0,0,0,essential,1,0.930471,0.063446,0.004833,0.00125,0.9305,NA,1,1386,FALSE,FALSE,38.452380952381,1385,essential,essential,essential,essential,4NE6Q,COG0593,2FNPD,"Bac_DnaA,Bac_DnaA_C,DnaA_N","COG0593@1|root,COG0593@2|Bacteria,4NE6Q@976|Bacteroidetes,2FNPD@200643|Bacteroidia,4AMV9@815|Bacteroidaceae","ko02020,ko04112,map02020,map04112",-,ko:K02313,"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837",L,3,1,conserved_ES,0.930471,probES,essential,essential
uniformis,liquid,gene,BU_ATCC8492_00002,BACUNI_01740,nfrA2,FMN reductase [NAD(P)H],A7V2E9,27,24,0.8889,96.71,1,2,0,not_essential,0,3,24,0,not_essential,0.889,0,6.6E-05,0.821601,0.178333,0.8216,NA,1465,2247,FALSE,FALSE,38.6096437694009,782,not_essential,not_essential,not_essential,not_essential,4NJ80,COG0778,2FNX6,Nitroreductase,"COG0778@1|root,COG0778@2|Bacteria,4NJ80@976|Bacteroidetes,2FNX6@200643|Bacteroidia,4AM0M@815|Bacteroidaceae","ko00740,ko01100,map00740,map01100",-,"ko:K19285,ko:K19286",-,C,3,1,not_essential,0.821601,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00002,BACUNI_01740,nfrA2,FMN reductase [NAD(P)H],A7V2E9,27,26,0.963,45.77,1,2,0,not_essential,0,0,27,0,not_essential,1,0,0.173853,0.687632,0.138515,0.6876,NA,1465,2247,FALSE,FALSE,41.2069173734955,782,not_essential,not_essential,not_essential,not_essential,4NJ80,COG0778,2FNX6,Nitroreductase,"COG0778@1|root,COG0778@2|Bacteria,4NJ80@976|Bacteroidetes,2FNX6@200643|Bacteroidia,4AM0M@815|Bacteroidaceae","ko00740,ko01100,map00740,map01100",-,"ko:K19285,ko:K19286",-,C,3,1,not_essential,0.687632,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00003,BACUNI_01741,blank,Vitamin B12-dependent ribonucleotide reductase,A7V2F0,83,74,0.8916,94.96,1,2,0,not_essential,0,0,83,0,not_essential,1,0,0.000106,0.822102,0.177792,0.8221,NA,2617,5154,FALSE,FALSE,39.5154962494533,2537,not_essential,not_essential,not_essential,not_essential,4NEHQ,COG0209,2FN30,"Ribonuc_red_lgC,Ribonuc_red_lgN","COG0209@1|root,COG0209@2|Bacteria,4NEHQ@976|Bacteroidetes,2FN30@200643|Bacteroidia,4AKPU@815|Bacteroidaceae","ko00230,ko00240,ko01100,map00230,map00240,map01100",M00053,ko:K00525,-,F,3,1,not_essential,0.822102,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00003,BACUNI_01741,blank,Vitamin B12-dependent ribonucleotide reductase,A7V2F0,83,64,0.7711,38.23,2,13,0,not_essential,0,2,81,0,not_essential,0.976,0,0.579811,0.349569,0.07062,0.3496,ambiguous,2617,5154,FALSE,FALSE,39.9920841962788,2537,not_essential,not_essential,not_essential,not_essential,4NEHQ,COG0209,2FN30,"Ribonuc_red_lgC,Ribonuc_red_lgN","COG0209@1|root,COG0209@2|Bacteria,4NEHQ@976|Bacteroidetes,2FN30@200643|Bacteroidia,4AKPU@815|Bacteroidaceae","ko00230,ko00240,ko01100,map00230,map00240,map01100",M00053,ko:K00525,-,F,3,1,not_essential,0.579811,probGD,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00004,BACUNI_01742,blank,4-alpha-glucanotransferase,A7V2F1,94,85,0.9043,68.72,2,8,0,not_essential,0,0,94,0,not_essential,1,0,0.039884,0.792186,0.16793,0.7922,NA,5286,7979,FALSE,FALSE,39.6156760436197,2693,not_essential,not_essential,not_essential,not_essential,4NF7Z,COG1640,2FMBZ,"CBM_20,Glyco_hydro_77","COG1640@1|root,COG1640@2|Bacteria,4NF7Z@976|Bacteroidetes,2FMBZ@200643|Bacteroidia,4AMJZ@815|Bacteroidaceae","ko00500,ko01100,map00500,map01100",-,ko:K00705,-,G,3,1,not_essential,0.792186,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00004,BACUNI_01742,blank,4-alpha-glucanotransferase,A7V2F1,94,80,0.8511,51.91,2,8,0,not_essential,0,0,94,0,not_essential,1,0,0.091069,0.759562,0.14937,0.7596,NA,5286,7979,FALSE,FALSE,39.6249132341436,2693,not_essential,not_essential,not_essential,not_essential,4NF7Z,COG1640,2FMBZ,"CBM_20,Glyco_hydro_77","COG1640@1|root,COG1640@2|Bacteria,4NF7Z@976|Bacteroidetes,2FMBZ@200643|Bacteroidia,4AMJZ@815|Bacteroidaceae","ko00500,ko01100,map00500,map01100",-,ko:K00705,-,G,3,1,not_essential,0.759562,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00005,HQ45_01930,blank,hypothetical protein,A7V2F5,12,10,0.8333,52.4,1,2,0,not_essential,0,0,12,0,not_essential,1,0,0.401308,0.492499,0.106193,0.4925,ambiguous,9239,9574,FALSE,FALSE,36.0131593735793,335,not_essential,not_essential,not_essential,not_essential,4NTTY,32W8A,2G2MZ,-,"2E0PI@1|root,32W8A@2|Bacteria,4NTTY@976|Bacteroidetes,2G2MZ@200643|Bacteroidia,231XP@171551|Porphyromonadaceae",-,-,-,-,-,1,1,not_essential,0.492499,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00005,HQ45_01930,blank,hypothetical protein,A7V2F5,12,9,0.75,69.56,1,2,0,not_essential,0,0,12,0,not_essential,1,0,0.00158,0.836003,0.162417,0.836,NA,9239,9574,FALSE,FALSE,33.8802224306641,335,not_essential,not_essential,not_essential,not_essential,4NTTY,32W8A,2G2MZ,-,"2E0PI@1|root,32W8A@2|Bacteria,4NTTY@976|Bacteroidetes,2G2MZ@200643|Bacteroidia,231XP@171551|Porphyromonadaceae",-,-,-,-,-,1,1,not_essential,0.836003,probNE,not_essential,not_essential
