locus_tag	uniprot_id	string_protein_id
BU_ATCC8492_00001	A7V2E8	820.ERS852554_01920
BU_ATCC8492_00002	A7V2E9	820.ERS852554_01919
BU_ATCC8492_00003	A7V2F0	820.ERS852554_01918
BU_ATCC8492_00004	A7V2F1	820.ERS852554_01917
BU_ATCC8492_00005	A7V2F5	820.ERS852554_00451
BU_ATCC8492_00006	A7V2F6	820.ERS852554_00325
BU_ATCC8492_00007	A7V2F7	820.ERS852554_00326
BU_ATCC8492_00008	A7V2F8	820.ERS852554_00327
BU_ATCC8492_00009	A7V2F9	820.ERS852554_00328
BU_ATCC8492_00010	A7V2G0	820.ERS852554_00329
BU_ATCC8492_00011		820.ERS852554_00330
BU_ATCC8492_00012	A7V2G2	820.ERS852554_00331
BU_ATCC8492_00013	A7V2G3	820.ERS852554_00332
BU_ATCC8492_00014	A7V2G5	820.ERS852554_00395
BU_ATCC8492_00015	A7V2G6	820.ERS852554_00334
BU_ATCC8492_00016	A7V2G7	820.ERS852554_00335
BU_ATCC8492_00017	A7V2G8	820.ERS852554_00336
BU_ATCC8492_00018	A7V2G9	820.ERS852554_00337
BU_ATCC8492_00019	A7V2H0	820.ERS852554_00338
BU_ATCC8492_00020	A7V2H2	820.ERS852554_00339
BU_ATCC8492_00021	A7V2H3	820.ERS852554_00340
BU_ATCC8492_00022	A7V2H4	820.ERS852554_00341
BU_ATCC8492_00023	A7V2H5	820.ERS852554_00342
BU_ATCC8492_00024	A7V2H6	820.ERS852554_00343
BU_ATCC8492_00025	A7V2H7	820.ERS852554_00344
BU_ATCC8492_00026	A7V2H8	820.ERS852554_00345
BU_ATCC8492_00027	A7V2H9	820.ERS852554_00346
BU_ATCC8492_00028	A7V2I0	820.ERS852554_00347
BU_ATCC8492_00029	A7V2I2	820.ERS852554_00348
BU_ATCC8492_00030	A7V2I3	820.ERS852554_00350
BU_ATCC8492_00031	A7V2I5	820.ERS852554_00349
BU_ATCC8492_00032	A7V2I6	820.ERS852554_00351
BU_ATCC8492_00034	A7V2J0	820.ERS852554_00352
BU_ATCC8492_00035	A7V2J1	820.ERS852554_00353
BU_ATCC8492_00036	A7V2J2	820.ERS852554_00354
BU_ATCC8492_00037		820.ERS852554_03166
BU_ATCC8492_00038	A7V2J5	820.ERS852554_00354
BU_ATCC8492_00042	A7V2J8	820.ERS852554_00357
BU_ATCC8492_00043	A7V2J9	820.ERS852554_00358
BU_ATCC8492_00044	A7V2K0	820.ERS852554_00454
BU_ATCC8492_00045	A7V2K1	820.ERS852554_03675
BU_ATCC8492_00046	A7V2K2	820.ERS852554_03231
BU_ATCC8492_00051	A7V730	820.ERS852554_03922
BU_ATCC8492_00052	A7V729	820.ERS852554_03609
BU_ATCC8492_00053	A7V728	820.ERS852554_03920
BU_ATCC8492_00054	A7V727	820.ERS852554_03919
