Strain ID,Num Duplicated Sequences,Total Duplicated Gene IDs
BU_909,6,57
BU_61,12,41
BU_3537,8,22
BU_AN67,22,52
BU_ATCC8492,23,63
BU_CCUG35501,10,36
BU_CCUG39989,13,50
BU_CCUG67191,18,37
BU_CL03T00C23,9,58
BU_CL03T12C37,18,72
BU_CL06T06C18,51,146
BU_CL11T00C07,63,183
BU_CLA-AA-H218,13,51
BU_CLA-AV-11,10,20
BU_CLA-JM-H26-B,57,161
BU_CLA-JM-H26,13,78
BU_DNLKV2,18,105
BU_ET601,22,74
BU_H1-6,36,89
BU_2243B,15,43
BU_H4-7,4,9
BU_C7-17,5,18
BU_JCM13286,10,28
BU_JCM13287,9,26
BU_JCM13288,58,185
BU_H4-4,33,100
BU_NT5186,11,48
BU_NT5187,57,264
BU_NT5188,13,57
BU_R5-33,4,12
BU_VPI-C20-25,6,25
BU_WH4,63,158
BU_WH10,10,49
BU_WH11,8,40
BU_WH12,8,40
BU_H5-2,26,69
BU_NPI,6,25
BU_WH17,58,177
BU_WH20,61,197
BU_WH23,21,61
BU_WH203,3,13
BU_WH204,5,17
BU_WH205,3,13
BU_WH207,9,29
BU_WH215,25,95
BU_WH504,6,34
BU_WH505,11,46
BU_WH506,6,36
BU_WH511,13,53
BU_WH701,21,98
BU_WH703,15,58
BU_WH704,134,405
BU_WH710,21,98
BU_WH712,18,65
BU_WH714,16,58
BU_WH717,15,72
BU_WH15,68,186
PV_ATCC8482,52,135
PV_CCUG35393,40,213
BU_WH16,57,149
PV_CCUG39752,42,186
PV_CCUG63037,28,92
PV_CCUG65766,57,182
PV_CCUG66619,95,231
PV_AN905,34,125
PV_CCUG72251,33,148
PV_CL06T03C24,28,99
PV_CL09T03C04,19,50
PV_CL11T00C01,87,286
PV_CLA-AA-H208,29,142
PV_CLA-AA-H253,31,125
PV_CLA-AP-H4,41,121
PV_CLA-JM-H27-B,25,79
PV_CLA-JM-H27,25,85
PV_ET47,70,219
PV_ET597,49,180
PV_CCUG36807,15,73
PV_H5-1,103,393
PV_H6-5,23,75
PV_MPRL1840MH4,46,167
PV_NT5093,31,74
PV_NT5096,39,244
PV_NT5098,31,76
PV_NT5181,43,153
PV_TC-39A-CC-B-5824-ARE,94,403
PV_TC-4716A,38,114
PV_TC-4835B,18,67
PV_TC-4852A,89,254
PV_TC-4889A,82,342
PV_TC-4889B,72,243
PV_TC-4896A,38,190
PV_TC-D3,25,73
PV_TC-HDF,83,229
PV_TC-JM-F11,33,101
PV_TC-KB-H48-1,47,124
PV_TC-KB-H55,43,124
PV_TC-KB-H118,65,197
PV_TC-KB-H143,39,200
PV_TC-KB-M13,83,389
PV_TC-KB-M20,78,316
PV_CCUG68662,32,122
PV_H4-2,30,118
PV_WAL1887,91,309
PV_WCA-389-WT-3C,58,167
PV_TC-KB-M259,84,374
PV_TC-KB-P90,40,123
