locus_tag	uniprot_id	string_protein_id
PV_ATCC8482_00001	A6KWC5	435590.BVU_0001
PV_ATCC8482_00002	A6KWC6	435590.BVU_0002
PV_ATCC8482_00003	A6KWC7	435590.BVU_0003
PV_ATCC8482_00004	A6KWC8	435590.BVU_0004
PV_ATCC8482_00005	A6KWC9	435590.BVU_0005
PV_ATCC8482_00006	A6KWD0	435590.BVU_0006
PV_ATCC8482_00007	A6KWD1	435590.BVU_0007
PV_ATCC8482_00008	A6KWD2	435590.BVU_0008
PV_ATCC8482_00009	A6KWD3	435590.BVU_0009
PV_ATCC8482_00011	A6KWD4	435590.BVU_0010
PV_ATCC8482_00012	A6KWD5	435590.BVU_0011
PV_ATCC8482_00013	A6KWD6	435590.BVU_0012
PV_ATCC8482_00014	A6KWD7	435590.BVU_0013
PV_ATCC8482_00015	A6KWD8	435590.BVU_0014
PV_ATCC8482_00017	A6KWD9	435590.BVU_0015
PV_ATCC8482_00018	A6KWE0	435590.BVU_0016
PV_ATCC8482_00019	A6KWE1	435590.BVU_0017
PV_ATCC8482_00021	A6KWE2	435590.BVU_0018
PV_ATCC8482_00022		435590.BVU_0024
PV_ATCC8482_00023	A6KWE3	435590.BVU_0019
PV_ATCC8482_00024		435590.BVU_0020
PV_ATCC8482_00025	A6KWE5	435590.BVU_0021
PV_ATCC8482_00026	A6KWE6	435590.BVU_0022
PV_ATCC8482_00027	A6KWE7	435590.BVU_0023
PV_ATCC8482_00028	A6KWE8	435590.BVU_0024
PV_ATCC8482_00029	A6KWE9	435590.BVU_0025
PV_ATCC8482_00030	A6KWF0	435590.BVU_0026
PV_ATCC8482_00031	A6KWF1	435590.BVU_0027
PV_ATCC8482_00032	A6KWF2	435590.BVU_0028
PV_ATCC8482_00033	A6KWF3	435590.BVU_0029
PV_ATCC8482_00034	A6KWF4	435590.BVU_0030
PV_ATCC8482_00035	A6KWF5	435590.BVU_0031
PV_ATCC8482_00036	A6KWF6	435590.BVU_0032
PV_ATCC8482_00037	A6KWF7	435590.BVU_0033
PV_ATCC8482_00038	A6KWF8	435590.BVU_0034
PV_ATCC8482_00039		435590.BVU_0035
PV_ATCC8482_00040	A6KWG1	435590.BVU_0037
PV_ATCC8482_00041	A6KWG2	435590.BVU_0038
PV_ATCC8482_00042	A6KWG3	435590.BVU_0039
PV_ATCC8482_00043	A6KWG4	435590.BVU_0040
PV_ATCC8482_00044	A6KWG5	435590.BVU_0041
PV_ATCC8482_00045	A6KWG6	435590.BVU_0042
PV_ATCC8482_00046	A6KWG7	435590.BVU_0043
PV_ATCC8482_00047	A6KWG8	435590.BVU_0044
PV_ATCC8482_00048		435590.BVU_0020
PV_ATCC8482_00049	A6KWH0	435590.BVU_0046
PV_ATCC8482_00050	A6KWB7	435590.BVU_0047
PV_ATCC8482_00051	A6KWB8	435590.BVU_0048
PV_ATCC8482_00052	A6KWB9	435590.BVU_0049
PV_ATCC8482_00053	A6KWC0	435590.BVU_0050
PV_ATCC8482_00054	A6KWC1	435590.BVU_0051
PV_ATCC8482_00055	A6KWC2	435590.BVU_0052
PV_ATCC8482_00056	A6KWC3	435590.BVU_0053
PV_ATCC8482_00057	A6KWC4	435590.BVU_0054
PV_ATCC8482_00058	A6KWH1	435590.BVU_0055
PV_ATCC8482_00059	A6KWH2	435590.BVU_0056
PV_ATCC8482_00060	A6KWH3	435590.BVU_0057
PV_ATCC8482_00061	A6KWH4	435590.BVU_0058
PV_ATCC8482_00062	A6KWH5	435590.BVU_0059
PV_ATCC8482_00063	A6KWH6	435590.BVU_0060
PV_ATCC8482_00064	A6KWH7	435590.BVU_0061
PV_ATCC8482_00065	A6KWH8	435590.BVU_0062
PV_ATCC8482_00066	A6KWH9	435590.BVU_0063
PV_ATCC8482_00067	A6KWI0	435590.BVU_0064
PV_ATCC8482_00068	A6KWI1	435590.BVU_0065
PV_ATCC8482_00069	A6KWI2	435590.BVU_0066
PV_ATCC8482_00070		435590.BVU_3204
PV_ATCC8482_00071	A6KWI4	435590.BVU_0068
PV_ATCC8482_00073	A6KWI5	435590.BVU_0069
PV_ATCC8482_00074	A6KWI6	435590.BVU_0070
PV_ATCC8482_00075	A6KWI7	435590.BVU_0071
PV_ATCC8482_00076	A6KWI8	435590.BVU_0072
PV_ATCC8482_00077	A6KWI9	435590.BVU_0073
PV_ATCC8482_00078	A6KWJ0	435590.BVU_0074
PV_ATCC8482_00079	A6KWJ1	435590.BVU_0075
PV_ATCC8482_00080	A6KWJ2	435590.BVU_0076
PV_ATCC8482_00081	A6KWJ3	435590.BVU_0077
PV_ATCC8482_00082	A6KWJ4	435590.BVU_0078
PV_ATCC8482_00083	A6KWJ5	435590.BVU_0079
PV_ATCC8482_00084	A6KWJ6	435590.BVU_0080
PV_ATCC8482_00085	A6KWJ7	435590.BVU_0081
PV_ATCC8482_00086	A6KWJ8	435590.BVU_0082
PV_ATCC8482_00087	A6KWJ9	435590.BVU_0083
PV_ATCC8482_00088	A6KWK0	435590.BVU_0084
PV_ATCC8482_00089	A6KWK1	435590.BVU_0085
PV_ATCC8482_00090	A6KWK2	435590.BVU_0086
PV_ATCC8482_00091	A6KWK3	435590.BVU_0087
PV_ATCC8482_00092	A6KWK4	435590.BVU_0088
PV_ATCC8482_00093	A6KWK5	435590.BVU_0089
PV_ATCC8482_00095	A6KWK6	435590.BVU_0090
PV_ATCC8482_00096	A6KWK7	435590.BVU_0091
PV_ATCC8482_00097	A6KWK8	435590.BVU_0092
PV_ATCC8482_00098	A6KWL0	435590.BVU_0094
PV_ATCC8482_00099	A6KWL1	435590.BVU_0095
PV_ATCC8482_00100	A6KWL2	435590.BVU_0096
PV_ATCC8482_00101	A6KWL3	435590.BVU_0097
PV_ATCC8482_00102	A6KWL4	435590.BVU_0098
PV_ATCC8482_00103	A6KWL5	435590.BVU_0099
PV_ATCC8482_00104	A6KWL6	435590.BVU_0100
PV_ATCC8482_00105	A6KWL7	435590.BVU_0101
PV_ATCC8482_00106	A6KWL8	435590.BVU_0102
PV_ATCC8482_00108	A6KWL9	435590.BVU_0103
PV_ATCC8482_00109	A6KWM0	435590.BVU_0104
PV_ATCC8482_00110	A6KWM1	435590.BVU_0105
PV_ATCC8482_00112	A6KWM2	435590.BVU_0106
PV_ATCC8482_00113	A6KWM3	435590.BVU_0107
PV_ATCC8482_00114	A6KWM4	435590.BVU_0108
PV_ATCC8482_00115	A6KWM5	435590.BVU_0109
PV_ATCC8482_00116	A6KWM6	435590.BVU_0110
PV_ATCC8482_00117	A6KWM7	435590.BVU_0111
PV_ATCC8482_00118	A6KWM8	435590.BVU_0112
PV_ATCC8482_00119	A6KWM9	435590.BVU_0113
PV_ATCC8482_00120	A6KWN0	435590.BVU_0114
PV_ATCC8482_00121	A6KWN1	435590.BVU_0115
PV_ATCC8482_00122	A6KWN2	435590.BVU_0116
PV_ATCC8482_00123	A6KWN3	435590.BVU_0117
PV_ATCC8482_00124	A6KWN4	435590.BVU_0118
PV_ATCC8482_00125	A6KWN5	435590.BVU_0119
PV_ATCC8482_00126	A6KWN6	435590.BVU_0120
PV_ATCC8482_00127	A6KWN7	435590.BVU_0121
PV_ATCC8482_00128	A6KWN8	435590.BVU_0122
PV_ATCC8482_00130	A6KWN9	435590.BVU_0123
PV_ATCC8482_00131	A6KWP0	435590.BVU_0124
PV_ATCC8482_00132	A6KWP1	435590.BVU_0125
PV_ATCC8482_00133	A6KWP2	435590.BVU_0126
PV_ATCC8482_00134	A6KWP3	435590.BVU_0127
PV_ATCC8482_00135	A6KWP4	435590.BVU_0128
PV_ATCC8482_00136	A6KWP5	435590.BVU_0129
PV_ATCC8482_00137	A6KWP6	435590.BVU_0130
PV_ATCC8482_00138	A6KWP7	435590.BVU_0131
PV_ATCC8482_00139	A6KWP8	435590.BVU_0132
PV_ATCC8482_00140	A6KWP9	435590.BVU_0133
PV_ATCC8482_00141	A6KWQ0	435590.BVU_0134
PV_ATCC8482_00142	A6KWQ1	435590.BVU_0135
PV_ATCC8482_00143	A6KWQ2	435590.BVU_0136
PV_ATCC8482_00144	A6KWQ3	435590.BVU_0137
PV_ATCC8482_00145	A6KWQ4	435590.BVU_0138
PV_ATCC8482_00148	A6KWQ5	435590.BVU_0141
PV_ATCC8482_00149	A6KWQ6	435590.BVU_0142
PV_ATCC8482_00150	A6KWQ7	435590.BVU_0143
PV_ATCC8482_00151	A6KWQ8	435590.BVU_0144
PV_ATCC8482_00152		435590.BVU_1276
PV_ATCC8482_00153	A6KWQ9	435590.BVU_0145
PV_ATCC8482_00154	A6KWR0	435590.BVU_0146
PV_ATCC8482_00155	A6KWR1	435590.BVU_0147
PV_ATCC8482_00156	A6KWR2	435590.BVU_0148
PV_ATCC8482_00158	A6KWR3	435590.BVU_0149
PV_ATCC8482_00159	A6KWR4	435590.BVU_0150
PV_ATCC8482_00160	A6KWR5	435590.BVU_0151
PV_ATCC8482_00161	A6KWR6	435590.BVU_0152
PV_ATCC8482_00162	A6KWR7	435590.BVU_0153
PV_ATCC8482_00163	A6KWR8	435590.BVU_0154
PV_ATCC8482_00164	A6KWR9	435590.BVU_0155
PV_ATCC8482_00165	A6KWS0	435590.BVU_0156
PV_ATCC8482_00166	A6KWS1	435590.BVU_0157
PV_ATCC8482_00167	A6KWS3	435590.BVU_0159
PV_ATCC8482_00168	A6KWS4	435590.BVU_0160
PV_ATCC8482_00169	A6KWS5	435590.BVU_0161
PV_ATCC8482_00170	A6KWS6	435590.BVU_0162
PV_ATCC8482_00171	A6KWS7	435590.BVU_0163
PV_ATCC8482_00172	A6KWS8	435590.BVU_0164
PV_ATCC8482_00173	A6KWS9	435590.BVU_0165
PV_ATCC8482_00174	A6KWT0	435590.BVU_0166
PV_ATCC8482_00175	A6KWT1	435590.BVU_0167
PV_ATCC8482_00176	A6KWT2	435590.BVU_0168
PV_ATCC8482_00177	A6KWT3	435590.BVU_0169
PV_ATCC8482_00178		435590.BVU_0020
PV_ATCC8482_00179	A6KWT5	435590.BVU_0171
PV_ATCC8482_00180	A6KWT6	435590.BVU_0172
PV_ATCC8482_00181	A6KWT7	435590.BVU_0173
PV_ATCC8482_00182	A6KWT8	435590.BVU_0174
PV_ATCC8482_00183	A6KWT9	435590.BVU_0175
PV_ATCC8482_00184	A6KWU0	435590.BVU_0176
PV_ATCC8482_00185	A6KWU1	435590.BVU_0177
PV_ATCC8482_00186	A6KWU2	435590.BVU_0178
PV_ATCC8482_00187	A6KWU3	435590.BVU_0179
PV_ATCC8482_00188	A6KWU4	435590.BVU_0180
PV_ATCC8482_00189	A6KWU5	435590.BVU_0181
PV_ATCC8482_00190	A6KWU6	435590.BVU_0182
PV_ATCC8482_00191	A6KWU7	435590.BVU_0183
PV_ATCC8482_00192	A6KWU8	435590.BVU_0184
PV_ATCC8482_00193	A6KWU9	435590.BVU_0185
PV_ATCC8482_00194	A6KWV0	435590.BVU_0186
PV_ATCC8482_00195	A6KWV1	435590.BVU_0187
PV_ATCC8482_00196	A6KWV3	435590.BVU_0189
PV_ATCC8482_00199	A6KWV4	435590.BVU_0190
PV_ATCC8482_00200	A6KWV5	435590.BVU_0191
PV_ATCC8482_00201	A6KWV6	435590.BVU_0192
PV_ATCC8482_00202	A6KWV7	435590.BVU_0193
PV_ATCC8482_00203	A6KWV8	435590.BVU_0194
PV_ATCC8482_00204	A6KWV9	435590.BVU_0195
PV_ATCC8482_00205	A6KWW0	435590.BVU_0196
PV_ATCC8482_00206		435590.BVU_0197
PV_ATCC8482_00207	A6KWW2	435590.BVU_0198
PV_ATCC8482_00208	A6KWW3	435590.BVU_0199
PV_ATCC8482_00209	A6KWW4	435590.BVU_0200
PV_ATCC8482_00210	A6KWW5	435590.BVU_0201
PV_ATCC8482_00211	A6KWW6	435590.BVU_0202
PV_ATCC8482_00212	A6KWW7	435590.BVU_0203
PV_ATCC8482_00213	A6KWW8	435590.BVU_0204
PV_ATCC8482_00214	A6KWW9	435590.BVU_0205
PV_ATCC8482_00215	A6KWX0	435590.BVU_0206
PV_ATCC8482_00216	A6KWX1	435590.BVU_0207
PV_ATCC8482_00217	A6KWX2	435590.BVU_0208
PV_ATCC8482_00218	A6KWX3	435590.BVU_0209
PV_ATCC8482_00219	A6KWX4	435590.BVU_0210
PV_ATCC8482_00221	A6KWX5	435590.BVU_0212
PV_ATCC8482_00222	A6KWX6	435590.BVU_0213
PV_ATCC8482_00223	A6KWX7	435590.BVU_0214
PV_ATCC8482_00224	A6KWX8	435590.BVU_0215
PV_ATCC8482_00225	A6KWX9	435590.BVU_0216
PV_ATCC8482_00226	A6KWY0	435590.BVU_0217
PV_ATCC8482_00227	A6KWY1	435590.BVU_0218
PV_ATCC8482_00228	A6KWY2	435590.BVU_0219
PV_ATCC8482_00229	A6KWY3	435590.BVU_0220
PV_ATCC8482_00230	A6KWY4	435590.BVU_0221
PV_ATCC8482_00231	A6KWY5	435590.BVU_0222
PV_ATCC8482_00232	A6KWY6	435590.BVU_0223
PV_ATCC8482_00238	A6KWY8	435590.BVU_0230
PV_ATCC8482_00239	A6KWY9	435590.BVU_0231
PV_ATCC8482_00241	A6KWZ0	435590.BVU_0232
PV_ATCC8482_00242	A6KWZ1	435590.BVU_0233
PV_ATCC8482_00243	A6KWZ2	435590.BVU_0234
PV_ATCC8482_00244	A6KWZ3	435590.BVU_0235
PV_ATCC8482_00245	A6KWZ4	435590.BVU_0236
PV_ATCC8482_00246	A6KWZ5	435590.BVU_0237
PV_ATCC8482_00247	A6KWZ6	435590.BVU_0238
PV_ATCC8482_00248	A6KWZ7	435590.BVU_0239
PV_ATCC8482_00249	A6KWZ8	435590.BVU_0240
PV_ATCC8482_00250	A6KWZ9	435590.BVU_0241
PV_ATCC8482_00251	A6KX00	435590.BVU_0242
PV_ATCC8482_00252	A6KX01	435590.BVU_0243
PV_ATCC8482_00253	A6KX02	435590.BVU_0244
PV_ATCC8482_00254	A6KX03	435590.BVU_0245
PV_ATCC8482_00255	A6KX04	435590.BVU_0246
PV_ATCC8482_00256	A6KX05	435590.BVU_0247
PV_ATCC8482_00257	A6KX06	435590.BVU_0248
PV_ATCC8482_00259	A6KX07	435590.BVU_0249
PV_ATCC8482_00260	A6KX08	435590.BVU_0250
PV_ATCC8482_00261	A6KX09	435590.BVU_0251
PV_ATCC8482_00262	A6KX10	435590.BVU_0252
PV_ATCC8482_00263	A6KX11	435590.BVU_0253
PV_ATCC8482_00264	A6KX12	435590.BVU_0254
PV_ATCC8482_00265	A6KX13	435590.BVU_0255
PV_ATCC8482_00266	A6KX14	435590.BVU_0256
PV_ATCC8482_00267	A6KX15	435590.BVU_0257
PV_ATCC8482_00268		435590.BVU_4126
PV_ATCC8482_00269		435590.BVU_4126
PV_ATCC8482_00270	A6KX16	435590.BVU_0260
PV_ATCC8482_00271	A6KX17	435590.BVU_0261
PV_ATCC8482_00272	A6KX18	435590.BVU_0262
PV_ATCC8482_00273	A6KX19	435590.BVU_0263
PV_ATCC8482_00274	A6KX20	435590.BVU_0264
PV_ATCC8482_00275	A6KX21	435590.BVU_0265
PV_ATCC8482_00276	A6KX22	435590.BVU_0266
PV_ATCC8482_00277	A6KX23	435590.BVU_0267
PV_ATCC8482_00278	A6KX24	435590.BVU_0268
PV_ATCC8482_00279	A6KX25	435590.BVU_0269
PV_ATCC8482_00280	A6KX26	435590.BVU_0270
PV_ATCC8482_00281	A6KX27	435590.BVU_0271
PV_ATCC8482_00282	A6KX28	435590.BVU_0272
PV_ATCC8482_00283	A6KX29	435590.BVU_0273
PV_ATCC8482_00284	A6KX30	435590.BVU_0274
PV_ATCC8482_00285	A6KX31	435590.BVU_0275
PV_ATCC8482_00286	A6KX32	435590.BVU_0276
PV_ATCC8482_00287	A6KX33	435590.BVU_0277
PV_ATCC8482_00288	A6KX34	435590.BVU_0278
PV_ATCC8482_00289		435590.BVU_0280
PV_ATCC8482_00290	A6KX35	435590.BVU_0279
PV_ATCC8482_00291	A6KX36	435590.BVU_0280
PV_ATCC8482_00292	A6KX37	435590.BVU_0281
PV_ATCC8482_00293	A6KX38	435590.BVU_0282
PV_ATCC8482_00294	A6KX39	435590.BVU_0283
PV_ATCC8482_00297	A6KX40	435590.BVU_0284
PV_ATCC8482_00298	A6KX41	435590.BVU_0285
PV_ATCC8482_00299	A6KX42	435590.BVU_0286
PV_ATCC8482_00300	A6KX43	435590.BVU_0287
PV_ATCC8482_00301	A6KX44	435590.BVU_0288
PV_ATCC8482_00302	A6KX45	435590.BVU_0289
PV_ATCC8482_00304	A6KX46	435590.BVU_0290
PV_ATCC8482_00305	A6KX47	435590.BVU_0291
PV_ATCC8482_00306	A6KX48	435590.BVU_0292
PV_ATCC8482_00308	A6KX49	435590.BVU_0293
PV_ATCC8482_00309	A6KX50	435590.BVU_0294
PV_ATCC8482_00310	A6KX51	435590.BVU_0295
PV_ATCC8482_00312	A6KX52	435590.BVU_0296
PV_ATCC8482_00313	A6KX53	435590.BVU_0297
PV_ATCC8482_00314	A6KX54	435590.BVU_0298
PV_ATCC8482_00315	A6KX55	435590.BVU_0299
PV_ATCC8482_00316	A6KX56	435590.BVU_0300
PV_ATCC8482_00317	A6KX57	435590.BVU_0301
